job_title,counts
Accountant,1
Activities and Educational Visits Coordinator,1
Adult education tutor,1
Biological mass spectrometry facility manager,1
British Academy Postdoctoral Fellow,1
Clinical PhD fellow ,1
Community Outreach Manager,1
Data Architect,1
Doctoral Associate in Accounting & Finance,1
Doctoral Researcher,3
Doctoral researcher,2
ESRC Research Fellow,1
EngD Student,2
EngD research engineer,1
Experimental Officer,1
Field Officer,1
Fire Dynamic ,1
Head of Data Management,1
Head of Department,1
Honorary Research Fellow,1
Industrial adviser,1
Information Specialist,1
Innovation Fellow ,1
LEcturer,1
Lecturer,22
Lecturer in Bioinformatics,1
Lecturer in Criminology and Social Policy,1
Lecturer in Korean Studies,1
Lecturer in Management Accounting,1
Leverhulme Early Career Fellow,1
Lightsheet Microscope Manager,1
Manufacturing Engineer,1
Medical statistician,1
Microscope Facility Manager,1
No response,12
PDRA,7
PGR,4
PGR Student,2
PGR student department of Chemistry,1
PHD,2
PHD student,1
"Ph.d. student, part-time lecturer",1
PhD,3
PhD Biomaterials and Regenerative Medicine,1
PhD Candidate,1
PhD Research Student,1
PhD Researcher,5
PhD Researcher ,2
PhD Scholar,1
PhD Student,29
PhD Student ,2
PhD Student - Resilience in Decarbonised Energy,1
PhD Student/Researcher,1
PhD candidate,2
PhD candidate ,1
PhD in Matematics,1
PhD research student,1
PhD researcher,4
PhD student,43
PhD student ,4
PhD student and Teaching Assistant,1
PhD student and research assistant,1
Phd candidate,1
Phd student,1
Phd student ,1
Phd student - research assistant,1
Policy Research Associate,1
Pos-doctoral fellow,1
Post-doctoral research associate,1
PostDoc,1
Postdoc,2
Postdoc ,2
Postdoctoral Research Assistant,1
Postdoctoral Research Associate,5
Postdoctoral Research Associate in Robot Navigation,1
Postdoctoral Researcher ,1
Postdoctoral researcher,1
Postdoctoral researcher (co-investigator),1
Postgraduate Research Student,1
Postgraduate Research Student in Experimental Particle Physics,1
Postgraduate Researcher,1
Postgraduate student,1
Print Estimator,1
Prof of Public health,1
Professor,9
Professor ,1
Professor / BHF Senior Fellow,1
Professor East Asian Cinema.,1
Professor Emeritus,1
Professor of Applied Linguistics,1
Professor of Electroacoustic Music Composition,1
Professor of Orthodontics,1
Professor of Public Health,1
Professor of Sensory Neuroscience,1
Project Engineer,2
Project Manager,1
Project engineer,1
RA,1
Reader,2
Reader in Political Theory,1
Research Assistant,2
Research Assistant ,1
Research Associate,47
Research Associate ,1
Research Associate (PDRA),1
Research Associate - Software Development,1
Research Associate in Thoracic Oncological MR Imaging,1
Research Engineer,2
Research Fellow,13
Research Software Engineer,1
Research Technician,1
Research associate,5
Research associate in soft tribology,1
Research fellow,1
Retired,1
Retired lecturer,1
SL,1
Scientific Officer,1
Senior Design and Development Engineer,1
Senior Lecturer,14
Senior Lecturer ,1
Senior Lecturer in ...,1
Senior Lecturer in Economics ,1
Senior Lecturer in Human Osteology,1
Senior Lecturer in Physical Geography,1
Senior Lecturer in Psychology,1
Senior Lecturer in Quantitative Methods,1
Senior Lecturer in Quantitative Social Sciences,1
Senior Lecturer in Social Work,1
Senior Research Fellow,2
Senior Research Technician,1
Senior robotics and controls engineer,1
Sr. Lecturer,1
Statistical Support Advisor,1
Student,2
Technical Fellow,3
UKRI Innovation Fellow,1
University Teacher,1
Visiting Professor,1
Zooarchaeologist,1
honorary research fellow,1
lecturer,1
maintenance engineer,1
professor,1
psychologist,1
research associate,3
research fellow ,1
researcher,1
senior research fellow,1
student,1
student ,1
